race_id,horse_number,race,horse,jockey,frame_number,style,odds,popularity,finish_rank,time_index,note,position_1,position_2,position_3,position_4,weight,weight_delta,impost,last_3_furlongs,finish_time,race_date,course_id,num_horses,race_number,weather_name,weather_id,track_condition_name,track_condition_id,style_name,time_index_average_0,time_index_average_1,time_index_average_2,time_index_average_3,time_index_average_4,jockey_place_rate_5,jockey_place_rate_6,jockey_place_rate_7,jockey_place_rate_8,jockey_place_rate_9,conditional_place_rate_10
230101C01,2,230101C01,2009105463,a022d,2,4,319.4,8,6,-19,,6,7,7,6,438,-1,56,41.1,01:29.8,2023/1/1,501,8,1,ê∞,1,èd,3,í«çû,-26,-24.5,-19.333,-17.5,-21.8,0,0,0,0.05,0.08,0.164
230101C01,6,230101C01,2019105926,5481,6,4,236.7,7,7,-22,,8,8,8,7,380,-5,54,41.2,0:01:30,2023/1/1,501,8,1,ê∞,1,èd,3,í«çû,-36,-37.5,-36,-27,-26.2,0.4,0.3,0.233,0.275,0.36,0.217
230101C01,7,230101C01,2016110051,a03e2,7,3,3.4,2,2,22,,2,2,2,2,524,0,56,40.4,01:26.4,2023/1/1,501,8,1,ê∞,1,èd,3,ç∑Çµ,-23,-9,-6,1.75,4.8,0.4,0.35,0.4,0.375,0.42,0.394
230101C01,8,230101C01,2019107073,5564,8,3,37.7,5,5,-5,,5,6,5,5,452,3,56,41.6,01:28.6,2023/1/1,501,8,1,ê∞,1,èd,3,ç∑Çµ,1,0,-1.667,0.5,1.2,0.1,0.15,0.1,0.125,0.14,0.448
230101C09,1,230101C09,2017101941,5299,1,3,4.7,2,3,43,,7,7,6,6,520,2,56,39.2,01:31.4,2023/1/1,502,8,9,ê∞,1,èd,3,ç∑Çµ,47,45.5,43,36.25,36.8,0.4,0.55,0.567,0.6,0.56,0.436
230101C09,2,230101C09,2018102438,a00ab,2,3,127.9,7,8,19,,4,3,4,7,518,-8,56,41.8,01:33.5,2023/1/1,502,8,9,ê∞,1,èd,3,ç∑Çµ,29,12.5,12.667,5,6.4,0.3,0.25,0.2,0.15,0.16,0.438
230101C09,3,230101C09,2017109094,5074,3,3,82,6,6,39,,5,5,7,5,439,-7,54,39.7,01:31.7,2023/1/1,502,8,9,ê∞,1,èd,3,ç∑Çµ,24,18.5,23.667,26.25,25.8,0.5,0.3,0.333,0.425,0.4,0.377
230101C09,4,230101C09,2018102737,5496,4,3,19.5,4,5,41,,6,6,5,4,465,-5,56,39.6,01:31.6,2023/1/1,502,8,9,ê∞,1,èd,3,ç∑Çµ,32,37.5,36.333,35,36.6,0.3,0.35,0.3,0.325,0.28,0.364
230101C09,5,230101C09,2015101519,5536,5,3,5,3,4,42,,3,4,3,3,505,5,56,39.9,01:31.5,2023/1/1,502,8,9,ê∞,1,èd,3,ç∑Çµ,74,58.5,56.333,59.75,59.6,0.3,0.35,0.367,0.3,0.34,0.381
230101C09,6,230101C09,2016103087,a01bb,6,4,134,8,7,30,,8,8,8,8,483,1,56,39.8,01:32.5,2023/1/1,502,8,9,ê∞,1,èd,3,í«çû,27,25,28.333,26.5,28.4,0.3,0.3,0.3,0.25,0.2,0.15
230101C09,7,230101C09,2015104412,a0258,7,3,34,5,2,43,,2,2,2,2,543,4,56,39.9,01:31.4,2023/1/1,502,8,9,ê∞,1,èd,3,ç∑Çµ,42,37,39.667,36.75,37.6,0.2,0.25,0.333,0.4,0.4,0.442
230101C09,8,230101C09,2017101365,5640,8,2,1.3,1,1,49,,1,1,1,1,513,1,56,39.6,01:30.8,2023/1/1,502,8,9,ê∞,1,èd,3,êÊçs,50,55,51.333,50.5,49,0.8,0.75,0.7,0.75,0.76,0.717
230101C10,1,230101C10,2016101704,a03e2,1,3,5.5,3,1,53,,1,1,1,1,492,-14,56,39.9,01:30.5,2023/1/1,502,8,10,ê∞,1,èd,3,ç∑Çµ,-9,15,15.667,17.75,25.4,0.5,0.35,0.367,0.4,0.38,0.436
230101C10,2,230101C10,2018100625,5615,2,3,14.7,4,2,46,,6,6,5,2,468,-5,56,39.7,01:31.1,2023/1/1,502,8,10,ê∞,1,èd,3,ç∑Çµ,31,32.5,30.667,32.25,32.2,0.2,0.2,0.2,0.175,0.2,0.438
230101C10,3,230101C10,2016106492,a0256,3,2,30.8,8,6,25,,2,2,2,4,485,-3,56,42.2,0:01:33,2023/1/1,502,8,10,ê∞,1,èd,3,êÊçs,16,12.5,19.667,16.5,17.6,0.2,0.2,0.133,0.125,0.12,0.4
230101C10,4,230101C10,2014101513,a0258,4,4,21.1,6,4,39,,7,7,7,5,488,-2,54,40,01:31.7,2023/1/1,502,8,10,ê∞,1,èd,3,í«çû,29,23,26.667,27.25,29.2,0.3,0.3,0.367,0.425,0.42,0.203
230101C10,5,230101C10,2018102066,5481,5,3,1.6,1,3,46,,4,4,3,3,488,-2,56,40,01:31.1,2023/1/1,502,8,10,ê∞,1,èd,3,ç∑Çµ,53,46,45.333,45.5,46.8,0.4,0.3,0.267,0.275,0.34,0.381
230101C10,6,230101C10,2016103710,5496,6,3,20.2,5,5,37,,8,8,8,7,467,-8,54,39.7,01:31.9,2023/1/1,502,8,10,ê∞,1,èd,3,ç∑Çµ,20,26,27,29.75,31.4,0.2,0.35,0.3,0.325,0.28,0.377
230101C10,7,230101C10,2019103281,5299,7,3,4.6,2,8,18,,5,5,6,6,488,-2,56,42.2,01:33.6,2023/1/1,502,8,10,ê∞,1,èd,3,ç∑Çµ,25,28.5,34.333,37.75,39.6,0.4,0.55,0.567,0.6,0.56,0.442
